row_number,invoice_id,branch,customer_id,gender,age,customer_type,credit_score,has_creditcard,is_active_member,product_category,number_of_products,tax_amount,price,total_amount,ratings,customer_churn,tenure
65,374-17-3652,B,15658100,Female,42,Member,695,0,1,Food and beverages,9,19.269,42.82,404.649,8.9,0,9
66,608-04-3797,B,15804104,Male,28,Member,494,0,1,Health and beauty,8,10.128,25.32,212.688,8.7,0,3
67,704-20-4138,C,15611786,Female,69,Member,668,0,1,Health and beauty,7,10.3845,29.67,218.0745,8.1,0,47
68,588-47-8641,A,15760446,Female,64,Member,598,0,1,Fashion accessories,10,28.02,56.04,588.42,4.4,1,31
69,139-20-0155,B,15731267,Male,37,Member,797,1,0,Electronic accessories,10,20.15,40.3,423.15,7,0,50
70,556-97-7101,C,15789313,Female,44,Normal,595,1,0,Electronic accessories,2,6.322,63.22,132.762,8.5,1,10
71,242-55-6721,B,15686236,Female,47,Normal,525,1,0,Home and lifestyle,2,1.616,16.16,33.936,6.5,1,1
72,895-66-0685,B,15686885,Male,44,Member,777,0,1,Food and beverages,3,2.712,18.08,56.952,8,0,52
73,401-09-4232,C,15803801,Male,34,Member,454,1,0,Home and lifestyle,5,21.6725,86.69,455.1225,9.4,0,64
74,220-28-1851,A,15677288,Male,50,Normal,599,0,0,Home and lifestyle,2,3.473,34.73,72.933,9.7,1,62
75,468-88-0009,A,15806941,Male,60,Member,499,1,1,Home and lifestyle,4,13.188,65.94,276.948,6,0,3
76,261-12-8671,B,15604345,Female,22,Normal,730,1,1,Fashion accessories,2,6.096,60.96,128.016,4.9,0,56
77,448-81-5016,A,15592451,Male,32,Normal,565,1,0,Health and beauty,2,5.977,59.77,125.517,5.8,0,46
78,756-01-7507,C,15784736,Male,45,Normal,562,1,0,Health and beauty,5,5.095,20.38,106.995,6,0,8
79,729-06-2010,B,15768451,Male,40,Member,739,1,1,Health and beauty,9,36.2115,80.47,760.4415,9.2,1,30
80,360-39-5055,C,15668669,Female,36,Member,423,1,0,Sports and travel,5,12.2275,48.91,256.7775,6.6,1,45
81,366-93-0948,A,15781989,Male,42,Member,733,1,0,Electronic accessories,1,3.3175,66.35,69.6675,9.7,0,1
82,318-68-5053,B,15596979,Female,47,Normal,662,1,1,Health and beauty,6,23.097,76.99,485.037,6.1,0,11
83,883-17-4236,C,15787830,Male,33,Normal,452,1,0,Sports and travel,2,1.439,14.39,30.219,7.2,0,7
84,777-67-2495,B,15744105,Female,28,Normal,768,0,1,Home and lifestyle,3,10.3455,68.97,217.2555,8.7,0,42
85,280-17-4359,C,15643056,Female,38,Member,755,0,1,Health and beauty,10,45.25,90.5,950.25,8.1,0,49
86,656-16-1063,B,15803749,Female,41,Normal,498,1,1,Sports and travel,3,6.963,46.42,146.223,4.4,1,9
87,674-15-9296,A,15756655,Female,34,Normal,632,0,0,Sports and travel,5,9.285,37.14,194.985,5,0,35
88,378-07-7001,B,15595728,Male,41,Member,523,0,0,Electronic accessories,3,7.2135,48.09,151.4835,7.8,1,48
89,838-02-1821,C,15614491,Male,39,Member,539,1,0,Home and lifestyle,2,1.273,12.73,26.733,5.2,0,46
90,468-88-0009,A,15742848,Male,41,Member,673,1,1,Home and lifestyle,4,13.188,65.94,276.948,6,0,29
91,286-62-6248,B,15774382,Male,49,Normal,579,1,1,Fashion accessories,4,7.842,39.21,164.682,9,0,30
92,242-11-3142,B,15639265,Male,54,Member,714,1,0,Fashion accessories,2,8.377,83.77,175.917,4.6,0,1
93,210-74-9613,C,15637857,Female,31,Normal,616,0,1,Fashion accessories,4,19.452,97.26,408.492,6.8,0,66
94,528-14-9470,A,15804394,Male,32,Member,663,1,0,Health and beauty,1,4.565,91.3,95.865,9.2,1,65
95,751-69-0068,C,15719090,Female,34,Normal,676,1,1,Sports and travel,9,44.658,99.24,937.818,9,0,72
96,784-21-9238,C,15765311,Male,34,Member,642,1,0,Sports and travel,1,0.5085,10.17,10.6785,5.9,0,12
97,704-11-6354,A,15664311,Male,28,Member,637,1,1,Home and lifestyle,8,23.56,58.9,494.76,8.9,0,71
98,268-20-3585,C,15630419,Male,44,Normal,634,1,0,Health and beauty,9,6.2325,13.85,130.8825,6,0,5
99,175-54-2529,A,15579808,Female,39,Member,754,1,1,Food and beverages,8,8.868,22.17,186.228,9.6,0,52
100,493-65-6248,C,15595842,Male,45,Member,748,0,0,Sports and travel,10,18.49,36.98,388.29,7,1,25
101,756-01-7507,C,15774727,Female,34,Normal,757,0,0,Health and beauty,5,5.095,20.38,106.995,6,0,1
102,748-45-2862,A,15779423,Male,39,Member,716,1,1,Home and lifestyle,4,5.662,28.31,118.902,8.2,0,1
103,459-45-2396,A,15726058,Male,27,Member,754,0,1,Food and beverages,3,14.94,99.6,313.74,5.8,0,38
104,732-67-5346,A,15578045,Female,49,Normal,538,0,0,Food and beverages,5,3.4475,13.79,72.3975,7.8,1,66
105,132-32-9879,B,15795737,Female,47,Member,771,1,1,Electronic accessories,4,18.792,93.96,394.632,9.5,0,68
106,235-46-8343,C,15764654,Male,37,Member,649,1,1,Food and beverages,10,13.83,27.66,290.43,8.9,0,5
107,692-92-5582,B,15660200,Male,31,Member,551,1,1,Food and beverages,3,8.226,54.84,172.746,5.9,0,72
108,451-73-2711,C,15635396,Female,29,Normal,738,1,0,Food and beverages,1,4.2415,84.83,89.0715,8.8,1,32
109,182-69-8360,B,15607746,Female,36,Normal,573,1,1,Electronic accessories,4,4.73,23.65,99.33,4,0,43
110,420-97-3340,A,15798960,Male,33,Normal,680,0,1,Food and beverages,3,10.752,71.68,225.792,9.2,0,72
111,493-65-6248,C,15668629,Male,44,Member,719,1,0,Sports and travel,10,18.49,36.98,388.29,7,0,55
112,585-90-0249,A,15596405,Male,25,Member,546,1,1,Electronic accessories,1,3.663,73.26,76.923,9.7,0,52
113,690-01-6631,B,15728912,Female,44,Normal,554,1,0,Fashion accessories,10,8.745,17.49,183.645,6.6,0,43
114,665-63-9737,B,15793049,Female,48,Normal,680,1,0,Fashion accessories,3,7.863,52.42,165.123,7.5,1,37
115,189-55-2313,C,15688868,Female,26,Normal,684,0,0,Fashion accessories,10,31.09,62.18,652.89,6,0,64
116,277-63-2961,B,15645600,Female,27,Member,739,1,1,Sports and travel,1,3.6985,73.97,77.6685,5.4,0,3
117,291-59-1384,B,15737792,Female,31,Normal,818,0,0,Electronic accessories,1,3.015,60.3,63.315,6,0,36
118,587-73-4862,A,15700965,Female,32,Member,724,1,1,Health and beauty,5,2.6725,10.69,56.1225,7.6,0,10
119,324-92-3863,A,15610781,Female,29,Member,702,1,0,Electronic accessories,2,2.089,20.89,43.869,9.8,0,41
120,777-82-7220,B,15595831,Female,64,Member,579,1,1,Home and lifestyle,8,12.048,30.12,253.008,7.7,0,27
121,439-54-7422,A,15568469,Male,43,Normal,653,1,0,Electronic accessories,4,10.238,51.19,214.998,4.7,0,56
122,105-10-6182,A,15739046,Female,23,Member,850,0,1,Fashion accessories,2,2.148,21.48,45.108,6.6,0,6
123,181-94-6432,C,15798429,Male,29,Member,741,1,1,Fashion accessories,2,6.933,69.33,145.593,9.7,0,3
124,533-66-5566,B,15645095,Female,28,Normal,674,1,0,Home and lifestyle,7,17.8745,51.07,375.3645,7,0,7
125,748-45-2862,A,15805025,Female,45,Member,636,1,1,Home and lifestyle,4,5.662,28.31,118.902,8.2,0,4
126,778-71-5554,C,15702298,Male,41,Member,655,0,0,Fashion accessories,1,0.7715,15.43,16.2015,6.1,1,33
127,835-16-0096,C,15702300,Male,27,Member,671,0,0,Sports and travel,5,3.675,14.7,77.175,8.5,0,27
128,894-41-5205,C,15753679,Male,24,Normal,778,1,1,Food and beverages,8,17.272,43.18,362.712,8.3,0,72
129,347-34-2234,B,15650432,Male,41,Member,849,1,1,Sports and travel,9,24.7815,55.07,520.4115,10,0,1
130,488-25-4221,C,15713483,Male,52,Member,793,1,0,Food and beverages,1,1.5205,30.41,31.9305,8.4,1,71
131,584-86-7256,C,15588614,Male,57,Member,753,1,0,Sports and travel,7,12.096,34.56,254.016,7.3,1,13
132,573-58-9734,B,15664737,Female,38,Normal,779,1,1,Fashion accessories,3,4.5555,30.37,95.6655,5.1,0,25
133,532-59-7201,B,15657881,Male,38,Member,784,0,1,Sports and travel,6,23.979,79.93,503.559,5.5,0,67
134,157-13-5295,A,15664907,Male,47,Member,527,1,0,Health and beauty,10,25.97,51.94,545.37,6.5,1,1
135,139-20-0155,B,15743490,Female,56,Member,795,1,0,Electronic accessories,10,20.15,40.3,423.15,7,1,2
136,105-31-1824,A,15611325,Male,24,Member,682,0,0,Sports and travel,7,24.332,69.52,510.972,8.5,0,43
137,720-72-2436,A,15754084,Male,35,Normal,710,1,1,Food and beverages,4,13.304,66.52,279.384,6.9,0,23
138,201-86-2184,B,15726167,Male,37,Member,655,1,1,Electronic accessories,7,9.191,26.26,193.011,9.9,0,64
139,470-31-3286,B,15734948,Male,24,Normal,601,0,0,Health and beauty,3,2.223,14.82,46.683,8.7,0,57
140,426-39-2418,C,15671014,Female,72,Normal,573,1,1,Electronic accessories,7,21.4935,61.41,451.3635,9.8,0,1
141,189-55-2313,C,15694805,Male,35,Normal,664,0,1,Fashion accessories,10,31.09,62.18,652.89,6,0,72
142,151-16-1484,A,15577514,Female,36,Member,698,1,1,Electronic accessories,4,6.45,32.25,135.45,6.5,0,8
143,458-61-0011,B,15723484,Female,42,Normal,669,1,0,Food and beverages,4,12.06,60.3,253.26,5.8,0,61
144,470-31-3286,B,15680970,Female,41,Normal,611,1,0,Health and beauty,3,2.223,14.82,46.683,8.7,0,64
145,678-79-0726,C,15724876,Female,38,Member,560,1,1,Sports and travel,9,40.7835,90.63,856.4535,5.1,0,71
146,235-06-8510,C,15799031,Male,39,Member,523,1,0,Home and lifestyle,3,12.858,85.72,270.018,5.1,0,65
147,540-11-4336,A,15736730,Female,45,Normal,634,1,1,Food and beverages,9,11.223,24.94,235.683,5.6,0,3
148,746-04-1077,B,15761286,Female,66,Member,696,1,1,Food and beverages,10,42.315,84.63,888.615,9,0,1
149,866-05-7563,B,15728010,Male,37,Member,485,0,1,Electronic accessories,3,12.21,81.4,256.41,4.8,0,30
150,689-16-9784,C,15704586,Female,42,Normal,758,0,1,Food and beverages,6,14.031,46.77,294.651,6,0,15
151,200-40-6154,B,15775562,Female,33,Member,538,1,0,Home and lifestyle,6,19.773,65.91,415.233,5.7,0,8
152,704-10-4056,C,15800268,Male,37,Member,825,0,1,Health and beauty,3,9.0705,60.47,190.4805,5.6,0,7
153,639-76-1242,C,15732778,Male,29,Normal,468,1,1,Food and beverages,5,10.13,40.52,212.73,4.5,0,70
154,714-02-3114,C,15667632,Female,42,Normal,703,0,1,Sports and travel,2,9.88,98.8,207.48,7.7,0,62
155,354-25-5821,B,15593468,Female,33,Member,850,1,1,Sports and travel,6,20.736,69.12,435.456,5.6,0,6
156,250-17-5703,A,15684358,Male,41,Member,711,1,1,Food and beverages,10,9.425,18.85,197.925,5.6,0,14
157,886-18-2897,A,15625494,Female,32,Normal,573,1,1,Food and beverages,5,14.14,56.56,296.94,4.5,0,22
158,573-10-3877,B,15800856,Male,34,Member,643,1,1,Health and beauty,1,1.9505,39.01,40.9605,4.7,0,22
159,131-15-8856,C,15762123,Female,34,Member,717,1,0,Food and beverages,8,29.008,72.52,609.168,4,0,16
160,423-64-4619,A,15638988,Male,54,Member,684,1,1,Health and beauty,9,6.9975,15.55,146.9475,5,0,10
161,848-24-9445,C,15635905,Female,32,Member,616,1,1,Health and beauty,2,4.37,43.7,91.77,4.9,0,13
162,617-15-4209,C,15653347,Male,47,Member,560,0,0,Health and beauty,2,1.537,15.37,32.277,7.2,1,20
163,725-56-0833,A,15595588,Female,39,Normal,773,0,1,Health and beauty,10,16.16,32.32,339.36,10,0,2
164,512-98-1403,A,15735439,Female,31,Member,449,0,0,Electronic accessories,3,3.972,26.48,83.412,4.7,0,53
165,459-45-2396,A,15746695,Female,39,Member,429,1,0,Food and beverages,3,14.94,99.6,313.74,5.8,0,11
166,199-75-8169,A,15751208,Male,56,Member,684,1,1,Sports and travel,10,7.905,15.81,166.005,8.6,0,69
167,239-48-4278,A,15622003,Male,35,Member,745,1,0,Food and beverages,7,3.5455,10.13,74.4555,8.3,0,4
168,847-38-7188,B,15757537,Female,31,Normal,610,1,1,Food and beverages,3,14.502,96.68,304.542,6.4,0,72
169,512-98-1403,A,15766427,Male,52,Member,565,1,0,Electronic accessories,3,3.972,26.48,83.412,4.7,1,58
170,305-18-3552,B,15774192,Female,38,Member,539,0,0,Home and lifestyle,10,30.19,60.38,633.99,6,1,16
171,538-22-0304,C,15596914,Female,31,Normal,630,1,1,Electronic accessories,10,32.475,64.95,681.975,5.2,0,43
172,152-68-2907,A,15794868,Male,40,Normal,599,1,1,Food and beverages,3,7.83,52.2,164.43,9.5,0,2
173,457-94-0464,B,15699225,Male,46,Member,757,1,0,Electronic accessories,9,39.5415,87.87,830.3715,5.6,0,14
174,538-22-0304,C,15716449,Male,33,Normal,527,0,0,Electronic accessories,10,32.475,64.95,681.975,5.2,0,53
175,746-68-6593,C,15804142,Female,57,Member,670,1,0,Sports and travel,2,8.716,87.16,183.036,9.7,1,32
176,489-64-4354,C,15566253,Male,44,Normal,580,0,0,Fashion accessories,1,0.814,16.28,17.094,5,1,34
177,600-38-9738,C,15571869,Female,50,Member,669,0,0,Sports and travel,5,17.98,71.92,377.58,4.3,1,15
178,549-23-9016,C,15769346,Female,36,Member,587,1,0,Food and beverages,2,1.487,14.87,31.227,8.9,0,7
179,189-40-5216,C,15694946,Male,35,Normal,663,1,1,Electronic accessories,7,33.7295,96.37,708.3195,6,0,15
180,574-80-1489,B,15696355,Male,37,Member,724,1,0,Food and beverages,4,12.57,62.85,263.97,8.7,0,61
181,565-67-6697,B,15782181,Male,35,Member,592,1,0,Home and lifestyle,9,12.15,27,255.15,4.8,1,1
182,493-65-6248,C,15646563,Female,35,Member,772,0,1,Sports and travel,10,18.49,36.98,388.29,7,0,1
183,474-33-8305,C,15716236,Male,35,Member,499,1,0,Fashion accessories,7,23.5865,67.39,495.3165,6.9,0,8
184,834-83-1826,B,15711457,Female,28,Member,755,0,1,Home and lifestyle,5,20.51,82.04,430.71,7.6,0,33
185,148-82-2527,C,15683276,Female,37,Member,610,1,1,Home and lifestyle,10,6.06,12.12,127.26,8.4,0,13
186,218-59-9410,A,15773852,Male,38,Member,533,1,1,Home and lifestyle,3,10.863,72.42,228.123,8.2,0,1
187,880-35-0356,A,15588019,Male,28,Member,418,1,0,Sports and travel,3,11.28,75.2,236.88,4.8,0,20
188,384-59-6655,A,15628034,Female,37,Member,629,1,1,Food and beverages,9,44.397,98.66,932.337,8.4,0,3
189,775-72-1988,B,15568449,Male,38,Normal,661,1,1,Home and lifestyle,5,18.32,73.28,384.72,8.4,0,13
190,607-65-2441,C,15759274,Female,32,Member,447,1,1,Health and beauty,10,40.975,81.95,860.475,6,0,40
191,873-95-4984,B,15694321,Female,28,Member,619,1,0,Health and beauty,7,26.915,76.9,565.215,7.7,0,43
192,423-64-4619,A,15576602,Male,38,Member,809,1,1,Health and beauty,9,6.9975,15.55,146.9475,5,0,6
193,523-38-0215,C,15721251,Female,41,Normal,554,0,1,Home and lifestyle,1,1.85,37,38.85,7.9,0,69
194,478-06-7835,A,15660422,Male,28,Normal,569,1,0,Fashion accessories,1,4.4845,89.69,94.1745,4.9,0,72
195,648-94-3045,C,15767793,Female,38,Normal,819,1,0,Health and beauty,10,29.475,58.95,618.975,8.1,0,59
196,420-18-8989,A,15649078,Female,27,Member,850,1,1,Sports and travel,8,20.608,51.52,432.768,9.6,0,20
197,131-70-8179,A,15764419,Male,27,Member,730,1,1,Health and beauty,3,13.8135,92.09,290.0835,4.2,0,24
198,778-34-2523,A,15600106,Male,36,Member,631,0,0,Electronic accessories,8,19.448,48.62,408.408,5,0,59
199,221-25-5073,A,15694192,Female,38,Normal,598,0,0,Food and beverages,4,14.932,74.66,313.572,8.5,0,72
200,489-64-4354,C,15775703,Male,26,Normal,702,1,1,Fashion accessories,1,0.814,16.28,17.094,5,1,1
201,394-41-0748,C,15669664,Male,54,Member,574,0,0,Fashion accessories,9,24.3315,54.07,510.9615,9.5,1,27
202,189-40-5216,C,15640667,Female,41,Normal,662,1,0,Electronic accessories,7,33.7295,96.37,708.3195,6,0,14
203,563-47-4072,B,15628999,Male,79,Normal,732,1,1,Health and beauty,6,16.743,55.81,351.603,9.9,0,71
204,873-14-6353,A,15580462,Male,40,Member,607,1,1,Food and beverages,7,8.687,24.82,182.427,7.1,0,13
205,151-33-7434,B,15792250,Female,45,Normal,616,1,1,Food and beverages,1,3.3885,67.77,71.1585,6.5,0,44
206,725-32-9708,B,15714431,Male,37,Member,561,0,1,Fashion accessories,4,13.742,68.71,288.582,4.1,0,33
207,672-51-8681,C,15596761,Male,60,Member,515,1,0,Electronic accessories,9,29.9925,66.65,629.8425,9.7,1,72
208,889-04-9723,B,15623072,Female,35,Member,529,1,0,Food and beverages,4,17.828,89.14,374.388,7.8,0,1
209,300-71-4605,C,15807194,Male,34,Member,718,1,0,Electronic accessories,5,21.51,86.04,451.71,4.8,0,19
210,254-31-0042,A,15708212,Female,54,Member,648,1,0,Electronic accessories,9,9.675,21.5,203.175,7.8,1,64
211,630-74-5166,A,15812878,Female,36,Normal,785,0,1,Sports and travel,6,18.639,62.13,391.419,7.4,0,2
212,105-31-1824,A,15775430,Male,31,Member,651,1,0,Sports and travel,7,24.332,69.52,510.972,8.5,0,1
213,132-23-6451,A,15575147,Male,22,Member,699,1,0,Health and beauty,5,5.2425,20.97,110.0925,7.8,1,61
214,706-36-6154,A,15785373,Female,42,Member,717,1,0,Home and lifestyle,9,8.712,19.36,182.952,8.7,1,29
215,655-07-2265,A,15794841,Male,19,Normal,739,1,0,Electronic accessories,3,11.7465,78.31,246.6765,5.4,0,23
216,420-97-3340,A,15682585,Male,35,Normal,593,1,0,Food and beverages,3,10.752,71.68,225.792,9.2,0,57
217,709-58-4068,B,15630661,Female,25,Normal,614,1,0,Fashion accessories,10,20.545,41.09,431.445,7.3,0,72
218,389-25-3394,C,15620750,Male,28,Normal,559,1,1,Electronic accessories,5,2.9525,11.81,62.0025,9.4,0,66
219,755-12-3214,C,15764866,Female,43,Member,539,1,0,Fashion accessories,5,11.055,44.22,232.155,8.6,1,65
220,745-71-3520,A,15677586,Female,32,Member,587,1,1,Electronic accessories,7,8.827,25.22,185.367,8.2,0,8
221,838-78-4295,C,15772262,Male,37,Normal,545,1,1,Health and beauty,2,3.347,33.47,70.287,6.7,0,4
222,701-23-5550,B,15687130,Female,43,Member,686,1,1,Home and lifestyle,4,7.762,38.81,163.002,4.9,0,71
223,139-32-4183,A,15627971,Female,32,Member,504,0,0,Sports and travel,9,43.866,97.48,921.186,7.4,0,1
224,633-09-3463,C,15636624,Female,39,Normal,805,1,0,Electronic accessories,3,7.1475,47.65,150.0975,9.5,1,4
225,233-67-5758,C,15783865,Male,59,Normal,622,1,1,Health and beauty,1,2.0175,40.35,42.3675,6.2,0,12
226,761-49-0439,B,15772618,Male,25,Member,665,0,1,Electronic accessories,8,4.84,12.1,101.64,8.6,0,24
227,848-07-1692,B,15643794,Female,27,Normal,639,1,1,Health and beauty,2,5.722,57.22,120.162,8.3,0,31
228,374-38-5555,B,15756475,Male,31,Normal,551,1,1,Fashion accessories,5,15.9275,63.71,334.4775,8.5,0,1
229,784-21-9238,C,15805704,Female,32,Member,745,0,1,Sports and travel,1,0.5085,10.17,10.6785,5.9,1,30
230,721-86-6247,A,15589715,Female,66,Normal,584,1,0,Home and lifestyle,8,25.368,63.42,532.728,7.4,1,47
231,394-30-3170,B,15611088,Female,31,Member,790,1,0,Sports and travel,8,35.372,88.43,742.812,4.3,0,54
232,269-10-8440,A,15710206,Female,39,Member,591,1,0,Health and beauty,7,18.6095,53.17,390.7995,8.9,0,50
233,815-11-1168,A,15813645,Female,36,Member,491,1,1,Food and beverages,5,24.945,99.78,523.845,5.4,0,1
